TITRE,REALISATEUR,RUE,CP,ADRESSE,COORDONNEES
JULIE AND JULIA,NORA EPHRON,DES ARTS,75006,PONT DES ARTS 75006 Paris France,"48.858795, 2.337747"
JULIE AND JULIA,NORA EPHRON,DE CONTI,75006,QUAI DE CONTI 75006 Paris France,
JULIE AND JULIA,NORA EPHRON,SAINT LOUIS EN L'ILE,75004,RUE SAINT LOUIS EN L'ILE 75004 Paris France,
JULIE AND JULIA,NORA EPHRON,DE L'ARCHEVECHE,75004,QUAI DE L'ARCHEVECHE 75004 Paris France,"48.852214, 2.351984"
JULIE AND JULIA,NORA EPHRON,DU VERT GALANT,75001,SQUARE DU VERT GALANT 75001 Paris France,"48.8575, 2.34"
JULIE AND JULIA,NORA EPHRON,SAINT LOUIS,75001,PONT SAINT LOUIS 75001 Paris France,
JULIE AND JULIA,NORA EPHRON,DES SAINTS PERES,75006,PORT DES SAINTS PERES 75006 Paris France,
JULIE AND JULIA,NORA EPHRON,JEAN DU BELLAY,75001,RUE JEAN DU BELLAY 75001 Paris France,
JULIE AND JULIA,NORA EPHRON,JEAN XXIII,75004,SQUARE JEAN XXIII 75004 Paris France,"48.852432, 2.351152"
LOL,LISA AZUELOS,CHARDON LAGACHE,75016,RUE CHARDON LAGACHE 75016 Paris France,"48.84308, 2.264844"
LOL,LISA AZUELOS,D'AUTEUIL,75016,RUE D'AUTEUIL 75016 Paris France,"48.847954, 2.264508"
LOL,LISA AZUELOS,THEODORE RIVIERE,75016,PLACE THEODORE RIVIERE 75016 Paris France,
LOL,LISA AZUELOS,DU BUIS,75016,RUE DU BUIS 75016 Paris France,"48.847178, 2.267797"
LA TRES TRES GRANDE ENTREPRISE,PIERRE JOLIVET,SAINTE MARTHE,75010,RUE SAINTE MARTHE 75010 Paris France,
FROM PARIS WITH LOVE,PIERRE MOREL,MONCEY,75009,SQUARE MONCEY 75009 Paris France,
JE NE DIS PAS NON,ILIANA LOLIC,CENTRAL DU BD DE LA VILLETTE,75019,TERRE-PLEIN CENTRAL DU BD DE LA VILLETTE 75019 Paris France,
RTT,FREDERIC BERTHE,CHARLES FILLION,75017,PLACE CHARLES FILLION 75017 Paris France,
